001Wz,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1138,80,87,44,backRankMate endgame mate mateIn2 short,https://lichess.org/84RH3LaP/black#42
001om,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1040,82,100,162,mate mateIn2 middlegame short,https://lichess.org/VWOIWtIh#51
003Tx,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1750,74,90,326,backRankMate endgame fork mate mateIn2 short,https://lichess.org/A7j9VEC0#53
005N7,r6k/2q3pp/8/2p1n3/R1Qp4/7P/2PB1PP1/6K1 b - - 0 32,e5c4 a4a8 c7b8 a8b8,692,87,100,337,backRankMate endgame hangingPiece mate mateIn2 short,https://lichess.org/jxZhmGhg/black#64
0061g,6k1/pp3pp1/2p1q1Pp/3b4/8/6Q1/PB3Pp1/3RrNK1 b - - 2 27,e1d1 g3b8 e6e8 b8e8,965,93,100,35,endgame mate mateIn2 short,https://lichess.org/dJ3xEKJK/black#54
006HV,1r6/5k2/2p1pNp1/p5Pp/1pQ1P2P/2P4R/KP3P2/3q4 w - - 4 31,c4c6 b4b3 a2a3 d1a1,1392,77,91,702,endgame mate mateIn2 short,https://lichess.org/ibb2c72C#61
007Rn,4r1k1/p4p1p/1p6/6q1/3P2n1/P4Q2/1P1B2P1/7K w - - 0 34,d2g5 e8e1 f3f1 e1f1,994,81,75,71,endgame mate mateIn2 short,https://lichess.org/L9kH7FqT#67
007XE,2kr3r/p1p1bpp1/2p2n1p/8/8/1P6/P1P1RPPP/RNB3K1 w - - 1 16,e2e7 d8d1 e7e1 d1e1,980,144,69,13,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/f4f7UwiT#31
007ku,r1bq3Q/1np2kp1/p5B1/1p1Pp3/1Pn2BP1/2b2P2/P3K3/R4N2 b - - 5 35,f7g6 h8h5 g6f6 f4g5,1754,74,93,423,mate mateIn2 middlegame short,https://lichess.org/QveLbBjG/black#70
008GK,1k1r4/ppp3p1/8/1P5p/8/P3n2P/2P1r1P1/B3NRK1 b - - 4 31,d8d1 f1f8 d1d8 f8d8,666,85,100,221,backRankMate endgame mate mateIn2 short,https://lichess.org/9vFFDYsH/black#62
